index,element,moment_muB
0,Co,2.6510
1,Co,-2.6490
2,Co,2.6490
3,Co,-2.6510
4,Co,2.6510
5,Co,-2.6500
6,H,0.0010
7,H,-0.0010
8,H,0.0000
9,H,-0.0000
10,H,0.0010
11,H,-0.0010
12,H,0.0000
13,H,-0.0000
14,H,0.0010
15,H,-0.0010
16,H,0.0000
17,H,-0.0000
18,H,-0.0010
19,H,0.0010
20,H,-0.0000
21,H,0.0000
22,H,-0.0010
23,H,0.0010
24,H,-0.0000
25,H,0.0000
26,H,-0.0010
27,H,0.0010
28,H,-0.0000
29,H,0.0000
30,H,0.0000
31,H,-0.0000
32,H,0.0000
33,H,-0.0000
34,H,0.0000
35,H,-0.0000
36,H,0.0000
37,H,-0.0000
38,H,0.0000
39,H,-0.0000
40,H,0.0000
41,H,0.0000
42,H,0.0000
43,H,-0.0000
44,H,-0.0000
45,H,-0.0000
46,H,-0.0000
47,H,0.0000
48,H,0.0000
49,H,-0.0000
50,H,-0.0000
51,H,0.0000
52,H,-0.0000
53,H,0.0000
54,H,0.0000
55,H,-0.0000
56,H,0.0000
57,H,-0.0000
58,H,0.0000
59,H,-0.0000
60,H,0.0000
61,H,-0.0000
62,H,0.0000
63,H,-0.0000
64,H,0.0000
65,H,0.0000
66,C,0.0020
67,C,-0.0020
68,C,-0.0010
69,C,-0.0010
70,C,0.0020
71,C,-0.0020
72,C,-0.0010
73,C,0.0010
74,C,0.0020
75,C,-0.0020
76,C,-0.0010
77,C,0.0010
78,C,0.0070
79,C,-0.0080
80,C,0.0000
81,C,0.0000
82,C,0.0070
83,C,-0.0070
84,C,0.0000
85,C,0.0000
86,C,0.0080
87,C,-0.0080
88,C,-0.0000
89,C,0.0000
90,C,0.0060
91,C,-0.0060
92,C,0.0020
93,C,-0.0020
94,C,0.0050
95,C,-0.0060
96,C,0.0020
97,C,-0.0020
98,C,0.0050
99,C,-0.0060
100,C,0.0020
101,C,-0.0020
102,C,-0.0050
103,C,0.0050
104,C,-0.0020
105,C,0.0020
106,C,-0.0050
107,C,0.0050
108,C,-0.0020
109,C,0.0020
110,C,-0.0050
111,C,0.0050
112,C,-0.0020
113,C,0.0020
114,N,0.0330
115,N,-0.0330
116,N,0.0230
117,N,-0.0230
118,N,0.0330
119,N,-0.0320
120,N,0.0240
121,N,-0.0240
122,N,0.0320
123,N,-0.0320
124,N,0.0240
125,N,-0.0240
126,N,-0.0330
127,N,0.0330
128,N,-0.0240
129,N,0.0240
130,N,-0.0330
131,N,0.0340
132,N,-0.0240
133,N,0.0230
134,N,-0.0340
135,N,0.0330
136,N,-0.0230
137,N,0.0230
