index,element,moment_muB
0,Co,2.7460
1,Co,2.7460
2,Co,2.7460
3,Co,2.7460
4,Co,2.7520
5,Co,2.7520
6,Co,2.7520
7,Co,2.7520
8,Co,2.7500
9,Co,2.7500
10,Co,2.7510
11,Co,2.7500
12,Co,2.6540
13,Co,2.3930
14,Co,2.7320
15,Co,2.5910
16,H,0.0020
17,H,0.0030
18,H,0.0020
19,H,0.0020
20,H,0.0020
21,H,0.0020
22,H,0.0030
23,H,0.0020
24,H,0.0060
25,H,0.0060
26,H,0.0060
27,H,0.0060
28,H,0.0060
29,H,0.0060
30,H,0.0060
31,H,0.0060
32,H,0.0060
33,H,0.0060
34,H,0.0050
35,H,0.0060
36,H,0.0060
37,H,0.0050
38,H,0.0050
39,H,0.0050
40,H,0.0000
41,H,0.0010
42,H,0.0000
43,H,0.0020
44,H,-0.0000
45,H,0.0020
46,H,0.0020
47,H,0.0020
48,H,0.0000
49,O,0.0940
50,O,0.0910
51,O,0.0940
52,O,0.0970
53,O,0.1000
54,O,0.0970
55,O,0.0940
56,O,0.0970
57,O,0.0870
58,O,0.0870
59,O,0.0870
60,O,0.0870
61,O,0.0870
62,O,0.0870
63,O,0.0870
64,O,0.0870
65,O,0.0880
66,O,0.0880
67,O,0.0880
68,O,0.0880
69,O,0.0860
70,O,0.0860
71,O,0.0870
72,O,0.0870
73,O,0.0860
74,O,0.0880
75,O,0.0790
76,O,0.0950
77,O,0.0280
78,O,0.0690
79,O,0.0630
80,O,0.0830
