index,element,moment_muB
0,Co,2.7470
1,Co,2.7460
2,Co,2.7460
3,Co,2.7450
4,Co,2.7450
5,Co,2.7450
6,Co,2.7450
7,Co,2.7450
8,Co,2.7440
9,Co,2.7440
10,Co,2.7440
11,Co,2.7440
12,Co,2.7450
13,Co,2.7450
14,Co,2.7450
15,Co,2.7450
16,H,0.0030
17,H,0.0020
18,H,0.0020
19,H,0.0020
20,H,0.0020
21,H,0.0020
22,H,0.0020
23,H,0.0030
24,H,0.0020
25,H,0.0020
26,H,0.0020
27,H,0.0030
28,H,0.0030
29,H,0.0020
30,H,0.0020
31,H,0.0020
32,H,0.0020
33,H,0.0020
34,H,0.0030
35,H,0.0030
36,H,0.0030
37,H,0.0030
38,H,0.0020
39,H,0.0020
40,H,0.0020
41,H,0.0020
42,H,0.0020
43,H,0.0030
44,H,0.0030
45,H,0.0020
46,H,0.0020
47,H,0.0020
48,O,0.0910
49,O,0.0950
50,O,0.0940
51,O,0.0950
52,O,0.0980
53,O,0.0970
54,O,0.0980
55,O,0.0930
56,O,0.0970
57,O,0.1000
58,O,0.0970
59,O,0.0940
60,O,0.0940
61,O,0.0970
62,O,0.1000
63,O,0.0970
64,O,0.1000
65,O,0.1000
66,O,0.0950
67,O,0.0950
68,O,0.0950
69,O,0.0950
70,O,0.1010
71,O,0.1000
72,O,0.1000
73,O,0.0970
74,O,0.0970
75,O,0.0940
76,O,0.0910
77,O,0.0940
78,O,0.0940
79,O,0.0970
