index,element,moment_muB
0,Co,0.9990
1,Co,-0.0180
2,Co,-0.0040
3,Co,0.0100
4,Co,-0.0080
5,Co,-0.0120
6,Co,-0.0090
7,Co,-0.0030
8,Co,0.0020
9,Co,0.0050
10,Co,0.0020
11,Co,0.0080
12,Co,-0.0240
13,Co,0.0040
14,Co,0.0240
15,Co,0.0070
16,H,0.0010
17,H,-0.0010
18,H,-0.0000
19,H,0.0010
20,H,0.0010
21,H,0.0010
22,H,-0.0000
23,H,0.0010
24,H,0.0000
25,H,-0.0010
26,H,-0.0000
27,H,-0.0010
28,H,0.0020
29,H,-0.0000
30,H,0.0020
31,H,-0.0000
32,H,0.0000
33,O,-0.0080
34,O,-0.0220
35,O,-0.0010
36,O,-0.0180
37,O,-0.0180
38,O,0.0040
39,O,-0.0020
40,O,0.0220
41,O,0.0010
42,O,0.0040
43,O,0.0000
44,O,0.0030
45,O,0.0430
46,O,0.0030
47,O,0.0020
48,O,-0.0080
49,O,0.0020
50,O,0.0080
51,O,-0.0030
52,O,0.0090
53,O,-0.0010
54,O,-0.0050
55,O,-0.0000
56,O,-0.0040
57,O,0.0030
58,O,-0.0290
59,O,0.0030
60,O,-0.0270
61,O,-0.0010
62,O,-0.0020
63,O,-0.0010
64,O,-0.0020
