index,element,moment_muB
0,Co,-0.0040
1,Co,-0.0250
2,Co,-0.0170
3,Co,0.0230
4,Co,0.0010
5,Co,0.0010
6,Co,0.0010
7,Co,0.0000
8,Co,0.0010
9,Co,0.0020
10,Co,0.0020
11,Co,0.0020
12,Co,0.0330
13,Co,0.0340
14,Co,0.0330
15,Co,0.0340
16,H,-0.0010
17,H,0.0000
18,H,-0.0010
19,H,0.0000
20,H,0.0000
21,H,-0.0000
22,H,-0.0000
23,H,0.0000
24,H,-0.0020
25,H,-0.0020
26,H,-0.0020
27,H,-0.0020
28,H,0.0000
29,H,0.0000
30,H,0.0000
31,H,0.0000
32,H,0.0000
33,H,0.0000
34,O,-0.0000
35,O,0.0050
36,O,-0.0000
37,O,0.0050
38,O,0.0010
39,O,0.0000
40,O,0.0020
41,O,0.0010
42,O,0.0030
43,O,0.0030
44,O,0.0030
45,O,0.0030
46,O,-0.0010
47,O,0.0060
48,O,0.0040
49,O,-0.0050
50,O,0.0070
51,O,0.0080
52,O,0.0070
53,O,0.0080
54,O,-0.0040
55,O,-0.0040
56,O,-0.0040
57,O,-0.0040
58,O,-0.0510
59,O,-0.0550
60,O,-0.0510
61,O,-0.0540
62,O,0.0090
63,O,0.0090
64,O,0.0100
65,O,0.0090
66,O,0.0000
