index,element,moment_muB
0,Co,0.0110
1,Co,-0.0020
2,Co,0.0260
3,Co,0.0020
4,Co,0.0030
5,Co,-0.0020
6,Co,-0.0010
7,Co,-0.0010
8,Co,-0.0070
9,Co,-0.0070
10,Co,-0.0070
11,Co,-0.0080
12,Co,-0.0100
13,Co,-0.0020
14,Co,-0.0020
15,Co,-0.0110
16,H,-0.0000
17,H,-0.0000
18,H,0.0010
19,H,-0.0000
20,H,-0.0000
21,H,0.0010
22,H,-0.0000
23,H,-0.0010
24,H,0.0010
25,H,0.0010
26,H,0.0010
27,H,0.0010
28,H,-0.0010
29,H,-0.0020
30,H,-0.0020
31,H,-0.0010
32,H,-0.0000
33,H,0.0000
34,O,0.0000
35,O,-0.0060
36,O,-0.0000
37,O,-0.0090
38,O,0.0000
39,O,-0.0010
40,O,-0.0120
41,O,-0.0020
42,O,-0.0010
43,O,0.0020
44,O,-0.0020
45,O,-0.0050
46,O,-0.0000
47,O,-0.0060
48,O,-0.0010
49,O,0.0070
50,O,-0.0090
51,O,-0.0070
52,O,-0.0070
53,O,-0.0090
54,O,0.0050
55,O,0.0030
56,O,0.0030
57,O,0.0030
58,O,0.0220
59,O,0.0250
60,O,0.0280
61,O,0.0250
62,O,0.0030
63,O,0.0020
64,O,0.0030
65,O,0.0040
66,O,-0.0030
