index,element,moment_muB
0,Co,0.0080
1,Co,0.8780
2,Co,0.0060
3,Co,0.0100
4,Co,0.0140
5,Co,0.0140
6,Co,0.0100
7,Co,0.0080
8,Co,0.0030
9,Co,-0.0080
10,Co,-0.0000
11,Co,-0.0000
12,Co,-0.0100
13,Co,0.0020
14,Co,0.0410
15,Ni,-1.1880
16,H,0.0000
17,H,0.0000
18,H,0.0010
19,H,-0.0000
20,H,-0.0010
21,H,-0.0020
22,H,0.0000
23,H,-0.0020
24,H,0.0000
25,H,0.0000
26,H,0.0000
27,H,-0.0020
28,H,0.0010
29,H,0.0020
30,H,0.0010
31,H,-0.0010
32,H,-0.0000
33,O,0.0060
34,O,0.0660
35,O,0.0070
36,O,0.0420
37,O,0.0140
38,O,-0.0200
39,O,0.0550
40,O,-0.0260
41,O,0.0010
42,O,-0.0020
43,O,-0.0020
44,O,-0.0020
45,O,-0.0820
46,O,0.0070
47,O,-0.0050
48,O,0.0070
49,O,0.0000
50,O,-0.0010
51,O,0.0010
52,O,0.0120
53,O,0.0000
54,O,0.0050
55,O,-0.0020
56,O,-0.0020
57,O,0.0710
58,O,0.0050
59,O,-0.0720
60,O,-0.0630
61,O,0.0080
62,O,0.0090
63,O,-0.0030
64,O,-0.0100
65,O,0.1340
