index,element,moment_muB
0,Co,-0.0070
1,Co,-0.0040
2,Co,0.0130
3,Co,0.0220
4,Co,-0.0020
5,Co,0.0210
6,Co,-0.0010
7,Co,0.0010
8,Co,0.0010
9,Co,-0.0040
10,Co,-0.0080
11,Co,-0.0380
12,Co,0.0080
13,Co,0.0090
14,Co,-0.0410
15,Ni,-1.2040
16,H,-0.0000
17,H,0.0000
18,H,-0.0000
19,H,0.0000
20,H,-0.0010
21,H,0.0020
22,H,-0.0020
23,H,-0.0020
24,H,0.0030
25,H,-0.0000
26,H,-0.0000
27,H,0.0020
28,H,-0.0010
29,H,-0.0010
30,H,-0.0010
31,H,-0.0010
32,O,0.0010
33,O,0.0830
34,O,0.0010
35,O,0.0820
36,O,0.0270
37,O,0.0080
38,O,0.0270
39,O,0.0080
40,O,-0.0000
41,O,0.0040
42,O,-0.0080
43,O,-0.0070
44,O,-0.0800
45,O,-0.0080
46,O,0.0040
47,O,0.0090
48,O,-0.0120
49,O,0.0010
50,O,0.0020
51,O,-0.0110
52,O,0.0060
53,O,0.0000
54,O,0.0010
55,O,0.0050
56,O,0.0560
57,O,0.0600
58,O,-0.0050
59,O,-0.0040
60,O,0.0020
61,O,0.0020
62,O,-0.0070
63,O,-0.0060
