index,element,moment_muB
0,Co,-0.9110
1,Co,1.9340
2,Co,-1.9150
3,Co,0.0270
4,Co,0.0050
5,Co,0.0040
6,Co,0.0060
7,Co,0.0050
8,Co,0.0010
9,Co,-0.0100
10,Co,-0.0010
11,Co,-0.0060
12,Co,-0.0040
13,Co,-0.0340
14,Co,-0.0330
15,Co,-0.0360
16,H,-0.0010
17,H,-0.0000
18,H,-0.0000
19,H,-0.0010
20,H,-0.0000
21,H,0.0020
22,H,-0.0020
23,H,-0.0020
24,H,0.0000
25,H,0.0020
26,H,0.0020
27,H,0.0020
28,H,-0.0020
29,H,-0.0010
30,H,-0.0020
31,H,-0.0020
32,H,0.0000
33,O,-0.0330
34,O,0.0670
35,O,-0.0330
36,O,0.0440
37,O,0.0030
38,O,-0.0210
39,O,0.0270
40,O,-0.0240
41,O,-0.0020
42,O,0.0000
43,O,-0.0100
44,O,-0.0080
45,O,0.0050
46,O,0.0910
47,O,-0.1020
48,O,0.0010
49,O,-0.0010
50,O,-0.0100
51,O,-0.0090
52,O,-0.0110
53,O,-0.0020
54,O,0.0080
55,O,0.0030
56,O,0.0100
57,O,0.0420
58,O,0.0580
59,O,0.0140
60,O,0.0680
61,O,-0.0060
62,O,-0.0000
63,O,-0.0050
64,O,-0.0040
65,O,-0.1310
