index,element,moment_muB
0,Co,0.9570
1,Co,-1.8960
2,Co,0.0080
3,Co,1.9310
4,Co,-1.8870
5,Co,-0.0050
6,Co,0.0060
7,Co,0.0010
8,Co,0.0060
9,Co,0.0020
10,Co,-0.0030
11,Co,0.0040
12,Co,1.8670
13,Co,1.8590
14,Co,-1.8520
15,Co,0.0300
16,H,0.0000
17,H,-0.0010
18,H,0.0000
19,H,-0.0010
20,H,0.0000
21,H,-0.0030
22,H,-0.0030
23,H,0.0010
24,H,0.0010
25,H,0.0010
26,H,-0.0010
27,H,-0.0030
28,H,-0.0000
29,H,0.0010
30,H,-0.0000
31,H,0.0010
32,H,0.0040
33,O,-0.0030
34,O,-0.0770
35,O,-0.0020
36,O,-0.0240
37,O,-0.0150
38,O,0.0010
39,O,-0.0240
40,O,0.0010
41,O,0.0030
42,O,-0.0330
43,O,-0.0050
44,O,0.0580
45,O,0.0510
46,O,-0.1130
47,O,-0.0410
48,O,0.0890
49,O,0.1140
50,O,0.1170
51,O,-0.1170
52,O,0.0160
53,O,-0.0350
54,O,0.0010
55,O,-0.0010
56,O,-0.0070
57,O,-0.0100
58,O,-0.0400
59,O,-0.0090
60,O,-0.0410
61,O,-0.0130
62,O,-0.0010
63,O,-0.0140
64,O,-0.0000
65,O,0.0930
66,O,-0.0000
