index,element,moment_muB
0,Co,1.0580
1,Co,0.0240
2,Co,-0.0060
3,Co,1.9140
4,Co,-0.0150
5,Co,0.0030
6,Co,-0.0160
7,Co,0.0050
8,Co,-0.0070
9,Co,-0.0030
10,Co,-0.0010
11,Co,-0.0050
12,Co,0.0130
13,Co,-1.8850
14,Co,-0.0390
15,Co,-0.0490
16,H,-0.0000
17,H,0.0020
18,H,-0.0000
19,H,0.0020
20,H,0.0000
21,H,-0.0020
22,H,0.0020
23,H,0.0010
24,H,-0.0010
25,H,-0.0020
26,H,0.0020
27,H,0.0020
28,H,-0.0010
29,H,-0.0020
30,H,-0.0020
31,H,-0.0000
32,O,-0.0300
33,O,-0.0180
34,O,-0.0310
35,O,-0.0180
36,O,0.0140
37,O,-0.0210
38,O,0.0130
39,O,-0.0190
40,O,-0.0040
41,O,-0.0080
42,O,0.0050
43,O,0.0000
44,O,-0.0110
45,O,0.0020
46,O,-0.0050
47,O,0.0970
48,O,0.0010
49,O,-0.1090
50,O,-0.0120
51,O,-0.0100
52,O,-0.0020
53,O,-0.0010
54,O,0.0050
55,O,0.0100
56,O,0.0010
57,O,0.0490
58,O,0.0630
59,O,0.0500
60,O,0.0130
61,O,-0.0050
62,O,0.0130
63,O,0.0030
64,O,0.7790
