index,element,moment_muB
0,Co,-1.1770
1,Co,1.1630
2,Co,1.1780
3,Co,-0.0300
4,Co,-0.0050
5,Co,-0.0100
6,Co,-0.0050
7,Co,-0.0100
8,Co,-0.0010
9,Co,0.0020
10,Co,0.0010
11,Co,-0.0010
12,Co,-0.0000
13,Co,-0.0000
14,Co,-0.0000
15,Co,-0.0000
16,H,0.0010
17,H,-0.0010
18,H,0.0010
19,H,-0.0010
20,H,-0.0000
21,H,-0.0000
22,H,0.0000
23,H,-0.0020
24,H,-0.0000
25,H,0.0000
26,H,0.0000
27,H,0.0000
28,H,0.0000
29,H,-0.0000
30,H,0.0000
31,H,0.0000
32,O,-0.0080
33,O,0.0140
34,O,-0.0080
35,O,0.0140
36,O,-0.0020
37,O,-0.0290
38,O,-0.0020
39,O,-0.0300
40,O,-0.0000
41,O,-0.0080
42,O,-0.0070
43,O,-0.0040
44,O,0.0110
45,O,-0.0670
46,O,-0.0340
47,O,0.0130
48,O,0.0000
49,O,-0.0000
50,O,-0.0010
51,O,-0.0000
52,O,-0.0000
53,O,0.0010
54,O,-0.0000
55,O,0.0010
56,O,0.0000
57,O,-0.0000
58,O,0.0000
59,O,-0.0000
60,O,-0.0000
61,O,-0.0000
62,O,0.0000
63,O,-0.0000
64,O,-0.7740
