index,element,moment_muB
0,Co,0.0000
1,Co,-0.0000
2,Co,0.0000
3,Co,-0.0000
4,Co,0.0000
5,Co,-0.0000
6,Co,0.0000
7,Co,-0.0000
8,Co,0.0000
9,Co,0.0000
10,Co,-0.0000
11,Co,0.0000
12,Co,-0.0000
13,Co,-0.0000
14,Co,0.0000
15,Co,0.0000
16,H,0.0000
17,H,-0.0000
18,H,0.0000
19,H,-0.0000
20,H,0.0000
21,H,0.0000
22,H,-0.0000
23,H,0.0000
24,H,0.0000
25,H,0.0000
26,H,-0.0000
27,H,-0.0000
28,H,0.0000
29,H,0.0000
30,H,-0.0000
31,H,0.0000
32,O,0.0000
33,O,-0.0000
34,O,0.0000
35,O,-0.0000
36,O,0.0000
37,O,0.0000
38,O,-0.0000
39,O,0.0000
40,O,0.0000
41,O,0.0000
42,O,-0.0000
43,O,0.0000
44,O,-0.0000
45,O,0.0000
46,O,-0.0000
47,O,0.0000
48,O,0.0000
49,O,0.0000
50,O,-0.0000
51,O,-0.0000
52,O,0.0000
53,O,-0.0000
54,O,0.0000
55,O,-0.0000
56,O,-0.0000
57,O,-0.0000
58,O,0.0000
59,O,-0.0000
60,O,-0.0000
61,O,0.0000
62,O,0.0000
63,O,0.0000
